DateTime,LE,H,NETRAD,G,LE_measured_flag,H_measured_flag,SW_IN,TA,RH,VPD,PA,GPP,P,WS,USTAR,SWC
2018-01-01 00:00,-2.3,-2.26,-61.98,-10.2,0,1,0.0,7.55,86.8,0.137,100.31,0.0,0.0,0.65,0.139,28.36
2018-01-01 00:30,-0.6,4.81,-58.94,-11.58,0,1,0.0,6.11,90.6,0.089,100.3,0.0,0.0,1.2,0.088,28.35
2018-01-01 01:00,-2.8,-11.18,-46.85,-11.88,1,1,0.0,6.27,93.7,0.06,100.3,0.0,0.0,1.03,0.084,28.35
2018-01-01 01:30,-0.07,-2.97,-32.32,-10.69,1,1,0.0,6.53,91.6,0.081,100.31,0.0,0.0,0.9,0.088,28.34
2018-01-01 02:00,-1.34,4.36,-25.2,-9.69,0,1,0.0,6.66,89.9,0.099,100.35,0.0,0.0,0.54,0.099,28.34
2018-01-01 02:30,-0.21,-11.08,-35.86,-9.2,1,1,0.0,6.24,92.5,0.071,100.34,0.0,0.0,1.12,0.088,28.34
2018-01-01 03:00,-1.61,-14.8,-56.88,-9.66,1,1,0.0,6.43,89.7,0.099,100.33,0.0,0.0,1.12,0.097,28.34
2018-01-01 03:30,1.91,-5.51,-35.33,-10.12,0,1,0.0,6.28,89.3,0.102,100.3,0.0,0.0,1.19,0.077,28.32
2018-01-01 04:00,2.02,-3.1,-32.31,-9.56,1,1,0.0,6.77,85.6,0.142,100.29,0.0,0.0,0.96,0.089,28.33
2018-01-01 04:30,3.82,-12.54,-24.28,-9.2,1,1,0.0,6.4,87.2,0.123,100.29,0.0,0.0,1.04,0.103,28.32
2018-01-01 05:00,3.55,-9.48,-26.86,-8.79,1,1,0.0,7.16,80.8,0.194,100.33,0.0,0.0,1.07,0.075,28.32
2018-01-01 05:30,3.55,-11.7,-28.71,-8.06,1,1,0.0,7.3,79.0,0.215,100.34,0.0,0.0,0.82,0.081,28.32
2018-01-01 06:00,3.66,-10.78,-27.48,-8.06,1,1,0.0,7.56,76.0,0.25,100.35,0.0,0.0,1.37,0.089,28.31
2018-01-01 06:30,2.6,-8.2,-24.99,-8.06,1,1,,7.32,77.2,0.234,100.35,0.0,0.0,0.79,0.086,28.32
2018-01-01 07:00,2.67,-6.28,-24.2,-8.06,1,1,1.3,6.85,80.2,0.196,100.37,0.329,0.0,0.79,0.073,28.3
2018-01-01 07:30,1.11,1.58,-36.96,-8.27,0,1,14.0,6.78,79.8,0.199,100.4,1.049,0.0,0.62,0.078,28.3
2018-01-01 08:00,-3.42,0.99,-42.09,-9.45,1,1,24.0,6.14,83.3,0.158,100.44,1.553,0.0,0.89,0.088,28.29
2018-01-01 08:30,22.31,20.93,10.29,-9.81,1,1,111.3,6.39,85.5,0.139,100.47,2.066,0.0,0.91,0.087,28.29
2018-01-01 09:00,26.82,-4.4,94.9,-7.62,1,1,235.1,9.28,75.0,0.292,100.51,2.67,0.0,1.18,0.154,28.29
