site_id,year,month,tmax,tmin,srad,vp,dayl,prcp,ndvi_modis,evi_modis,lai_modis,fpar_modis,ndvi_landsat,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,G_F_MDS,LE_F_MDS,LE_F_MDS_QC,LE_CORR,H_F_MDS,H_F_MDS_QC,H_CORR,NEE_VUT_REF,NEE_VUT_REF_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,SWC_F_MDS_1,TS_F_MDS_1,NETRAD,ET_obs,ET_obs_corr,GPP_obs,GPP_obs_dt
CA-ARB,2017,1,-10.2791,-18.5704,100.9407,185.5943,28784.7344,0.7184,-0.0069,-0.0071,0.0000,0.0071,,-14.9860,40.4100,228.8560,0.3270,100.0030,0.8340,4.4900,-1.9629,0.7160,0.0000,,-8.4353,0.0000,,0.1391,0.0000,-0.0241,0.0060,39.4900,-1.3530,,0.0244,,-0.0241,0.0060
CA-ARB,2017,2,-9.7419,-21.1831,207.7828,137.8299,34471.0430,1.0031,-0.0098,-0.0104,0.0000,0.0029,-0.0485,-17.2980,96.0170,211.5980,0.4390,99.8260,0.6680,3.9510,-1.8287,1.0333,0.6897,,-3.8706,0.7001,,0.1431,0.7009,-0.0599,0.0228,42.5470,-1.1950,,0.0351,,-0.0599,0.0228
CA-ARB,2017,3,-3.5455,-16.9161,323.9459,182.5870,41682.9688,0.3472,-0.0316,-0.0333,0.0000,0.0000,-0.0749,-12.6790,160.5080,212.4070,1.0070,100.7630,0.4330,4.6400,-1.4808,1.8103,0.9993,,0.0757,1.0000,,0.1572,0.9395,0.1502,0.1092,42.4740,-1.0060,,0.0618,,0.1502,0.1092
CA-ARB,2017,4,2.9146,-8.5891,372.3234,265.3999,49318.7852,1.3860,0.0075,0.0054,0.0429,0.0234,-0.0324,-3.8810,214.3760,254.4380,1.7820,100.9880,1.6450,4.0750,-0.5263,0.4460,0.9514,,20.3000,0.9931,,0.3404,0.9090,0.3014,0.2661,57.2850,-0.0170,,0.0154,,0.3014,0.2661
CA-ARB,2017,5,11.5411,-0.0762,428.0254,476.5268,55979.2852,1.6206,0.5072,0.2746,0.4370,0.2103,0.5453,5.8410,231.7440,294.0110,3.8480,100.6540,2.0930,3.6560,7.2541,21.4845,0.0558,,38.5701,0.9987,,-0.3261,0.0464,1.3342,1.4702,61.0700,3.8680,,0.7463,,1.3342,1.4702
CA-ARB,2017,6,17.9470,5.3106,371.9247,797.5399,59511.2812,2.8048,0.6263,0.3012,1.2471,0.4839,0.5808,12.1060,252.9040,323.0470,5.4540,100.4020,2.6930,3.6040,7.2471,57.1651,0.0000,,51.3445,1.0000,,-1.0014,0.0000,3.0662,3.6103,52.8020,12.7380,,1.9977,,3.0662,3.6103
CA-ARB,2017,7,22.9730,8.0708,379.1353,1052.6488,57825.5898,1.4219,0.6753,0.3893,1.8505,0.6463,0.6686,16.6490,270.2520,337.2610,9.0330,100.0790,2.0480,3.6040,6.0015,84.0228,0.8112,,46.9019,1.0000,,-0.8945,0.7621,3.7658,4.0432,48.2340,16.2990,,2.9490,,3.7658,4.0432
CA-ARB,2017,8,19.8752,7.8957,314.4088,1081.6207,51917.9844,1.9382,0.6294,0.3469,1.3726,0.5867,0.6277,13.6960,196.2970,334.5340,5.7060,99.9980,1.1350,3.0530,2.0959,52.5585,0.9993,,38.7280,0.9993,,-0.6104,0.9724,3.2792,3.1570,47.1750,14.4520,,1.8395,,3.2792,3.1570
CA-ARB,2017,9,16.0106,6.2725,239.5502,969.8287,44465.4648,2.8828,0.5860,0.3034,0.8260,0.4533,0.6357,10.4940,124.1570,325.0630,4.0210,100.1630,2.1300,3.5910,-0.6127,28.7895,0.9500,,16.2155,0.9986,,0.0193,0.9597,1.6184,1.4927,48.3740,10.7580,,1.0045,,1.6184,1.4927
CA-ARB,2017,10,9.5801,0.9910,161.1637,676.5425,36841.8750,2.9406,0.5299,0.2793,0.4857,0.3268,0.6010,4.8450,77.2010,298.1100,2.7380,100.0480,0.6930,4.6440,-3.1757,9.2244,0.8273,,3.2134,1.0000,,0.1881,0.8306,0.3978,0.3270,48.2210,5.6520,,0.3201,,0.3978,0.3270
