site_id,lat,lon,igbp,koppen,elev_gtopo30,zip_start,zip_end,zip,elev_m,lc_modis
CA-ARB,52.695,-83.9452,WET,Dfc,106.0,2011,2024,AMF_CA-ARB_FLUXNET_2011-2024_v1.3_r1.zip,91.54952538175812,11
CA-ARF,52.7008,-83.955,WET,Dfc,100.0,2011,2024,AMF_CA-ARF_FLUXNET_2011-2024_v1.3_r1.zip,90.49766162310864,9
CA-BOU,50.5244,-63.2064,WET,Dfc,152.0,2018,2020,AMF_CA-BOU_FLUXNET_2018-2020_v1.3_r1.zip,110.20721761097076,8
CA-CF3,58.6658,-93.8304,WET,Dfc,20.0,2022,2025,AMF_CA-CF3_FLUXNET_2022-2025_v1.3_r1.zip,22.836275609612088,7
CA-Ca3,49.535,-124.9,ENF,Csb,126.0,2001,2024,AMF_CA-Ca3_FLUXNET_2001-2024_v1.3_r1.zip,166.2192517307409,1
CA-Cbo,44.3167,-79.9333,DBF,Dfb,204.0,1996,2024,AMF_CA-Cbo_FLUXNET_1996-2024_v1.3_r1.zip,222.5378431054085,5
CA-DB2,49.119,-122.9951,WET,Cfb,4.0,2019,2024,AMF_CA-DB2_FLUXNET_2019-2024_v1.3_r1.zip,2.151240528896152,8
CA-DBB,49.1293,-122.9849,WET,Cfb,4.0,2015,2024,AMF_CA-DBB_FLUXNET_2015-2024_v1.3_r1.zip,3.241010401188708,8
CA-DSM,49.0887,-122.8954,WET,Cfb,-9999.0,2021,2024,AMF_CA-DSM_FLUXNET_2021-2024_v1.3_r1.zip,1.0565715135295866,12
CA-EM1,50.3623,-100.2024,WET,Dfb,609.0,2021,2023,AMF_CA-EM1_FLUXNET_2021-2023_v1.3_r1.zip,603.8155283551822,12
CA-EM2,50.3706,-100.5339,WET,Dfb,550.0,2021,2023,AMF_CA-EM2_FLUXNET_2021-2023_v1.3_r1.zip,551.5356987690079,11
CA-HPC,68.3203,-133.5188,ENF,Dfc,85.0,2018,2018,AMF_CA-HPC_FLUXNET_2018-2018_v1.3_r1.zip,85.0,9
CA-KLP,51.5902,-81.7684,WET,Dfb,45.0,2011,2020,AMF_CA-KLP_FLUXNET_2011-2020_v1.3_r1.zip,70.32449396995557,10
CA-LP1,55.1119,-122.8414,ENF,Dfc,798.0,2007,2024,AMF_CA-LP1_FLUXNET_2007-2024_v1.3_r1.zip,746.3247436063871,8
CA-LU1,59.5951,-117.2862,OSH,Dfc,304.0,2020,2023,AMF_CA-LU1_FLUXNET_2020-2023_v1.3_r1.zip,312.01936002757515,8
CA-LU2,59.4405,-117.2422,OSH,Dfc,304.0,2020,2023,AMF_CA-LU2_FLUXNET_2020-2023_v1.3_r1.zip,318.7094949494949,8
CA-Mer,45.4094,-75.5186,WET,Dfb,67.0,1998,2020,AMF_CA-Mer_FLUXNET_1998-2020_v1.3_r1.zip,68.46674101808335,8
CA-Mtk,72.6695,-77.9981,GRA,ET,1.0,2024,2024,AMF_CA-Mtk_FLUXNET_2024-2024_v1.3_r1.zip,1.0,10
CA-PB1,54.9417,-83.4579,WET,Dfc,52.0,2016,2024,AMF_CA-PB1_FLUXNET_2016-2024_v1.3_r1.zip,30.919997391928025,10
CA-PB2,54.9389,-83.4736,WET,Dfc,51.0,2017,2024,AMF_CA-PB2_FLUXNET_2017-2024_v1.3_r1.zip,29.60221642764014,9
CA-RBM,49.1313,-123.1964,WET,Csb,-9999.0,2022,2024,AMF_CA-RBM_FLUXNET_2022-2024_v1.3_r1.zip,3.760121833444766,12
CA-SCB,61.3089,-121.2984,WET,Dfc,249.0,2014,2019,AMF_CA-SCB_FLUXNET_2014-2019_v1.3_r1.zip,249.0,8
CA-SCC,61.3079,-121.2992,ENF,Dfc,251.0,2013,2024,AMF_CA-SCC_FLUXNET_2013-2024_v1.3_r1.zip,251.0,8
CA-SMC,63.1534,-123.2522,ENF,Dsc,186.0,2018,2018,AMF_CA-SMC_FLUXNET_2018-2018_v1.3_r1.zip,186.0,9
CA-TP1,42.661,-80.56,ENF,Dfb,200.0,2002,2023,AMF_CA-TP1_FLUXNET_2002-2023_v1.3_r1.zip,201.5624112883025,12
CA-TP3,42.7068,-80.3483,ENF,Dfb,216.0,2002,2023,AMF_CA-TP3_FLUXNET_2002-2023_v1.3_r1.zip,224.510801568104,5
CA-TP4,42.7102,-80.3574,ENF,Dfb,219.0,2002,2023,AMF_CA-TP4_FLUXNET_2002-2023_v1.3_r1.zip,230.8612176814011,5
CA-TPA,42.6947,-80.3487,CRO,Dfb,210.0,2020,2023,AMF_CA-TPA_FLUXNET_2020-2023_v1.3_r1.zip,212.74338867106025,6
CA-TPD,42.6353,-80.5577,DBF,Dfb,196.0,2012,2023,AMF_CA-TPD_FLUXNET_2012-2023_v1.3_r1.zip,211.79961577013023,4
CA-TVC,68.7462,-133.5017,OSH,Dfc,93.0,2017,2017,AMF_CA-TVC_FLUXNET_2017-2017_v1.3_r1.zip,93.0,7
MX-Aog,26.9968,-108.7892,DBF,BSh,420.0,2016,2018,AMF_MX-Aog_FLUXNET_2016-2018_v1.3_r1.zip,366.29366524994936,9
