Date,Daylength_s,P_mm,SRad_Wm2,Tmax_C,Tmin_C,VP_Pa
2000-01-01,35315.43,0.0,265.21,18.48,8.2,1087.11
2000-01-02,35347.3,0.0,253.9,21.59,10.03,1229.48
2000-01-03,35381.78,21.59,134.45,22.32,14.73,1674.57
2000-01-04,35418.86,18.03,221.8,18.79,4.25,827.16
2000-01-05,35458.5,0.0,312.72,11.03,-3.92,456.92
2000-01-06,35500.68,0.0,322.86,12.5,-3.77,462.08
2000-01-07,35545.38,0.0,332.72,14.18,-3.7,464.67
2000-01-08,35592.56,18.57,235.67,14.02,-1.27,556.55
2000-01-09,35642.19,29.2,182.82,17.59,7.43,1031.6
2000-01-10,35694.25,0.0,248.87,17.39,7.08,1007.16
2000-01-11,35748.7,0.0,329.32,20.35,2.6,736.54
2000-01-12,35805.5,0.0,316.86,18.9,3.36,776.9
2000-01-13,35864.63,3.75,228.28,18.83,4.58,846.52
2000-01-14,35926.04,0.0,295.77,9.17,-3.1,486.08
2000-01-15,35989.69,0.0,354.86,15.91,-4.4,440.86
2000-01-16,36055.56,6.96,251.9,16.58,-0.33,596.04
2000-01-17,36123.61,6.79,129.32,13.67,7.4,1028.99
2000-01-18,36193.78,0.0,253.14,16.03,6.15,944.53
2000-01-19,36266.05,4.22,135.39,9.87,3.52,785.87
2000-01-20,36340.37,0.0,230.09,8.46,0.23,621.17
2000-01-21,36416.71,0.0,290.69,4.79,-6.18,385.06
2000-01-22,36495.01,22.67,202.94,5.13,-4.75,429.42
2000-01-23,36575.25,24.2,126.07,4.46,-1.12,562.58
2000-01-24,36657.38,0.0,241.46,4.86,-3.47,472.71
2000-01-25,36741.35,0.0,302.79,3.88,-7.33,352.43
2000-01-26,36827.12,0.0,273.16,2.09,-7.41,350.13
2000-01-27,36914.66,0.0,338.11,5.7,-7.7,342.51
2000-01-28,37003.91,11.67,144.28,3.07,-3.13,484.77
2000-01-29,37094.85,8.75,80.97,3.4,0.11,615.71
2000-01-30,37187.41,0.0,213.83,4.7,-2.19,519.96
2000-01-31,37281.57,0.0,300.38,5.89,-4.63,433.34
2000-02-01,37377.28,0.0,377.87,11.19,-5.65,400.94
2000-02-02,37474.5,0.0,374.69,10.15,-6.2,384.31
2000-02-03,37573.18,0.0,404.45,14.42,-7.63,344.25
2000-02-04,37673.28,0.0,369.72,12.46,-3.38,476.09
2000-02-05,37774.77,0.0,347.19,7.95,-5.33,410.79
2000-02-06,37877.61,0.0,405.33,11.55,-8.1,331.94
2000-02-07,37981.74,0.0,410.78,15.82,-5.49,405.85
2000-02-08,38087.14,0.0,397.46,17.8,-1.42,550.38
2000-02-09,38193.76,0.0,397.84,18.31,-0.97,568.83
