Date,Daylength_s,P_mm,SRad_Wm2,Tmax_C,Tmin_C,VP_Pa
2000-01-01,33753.63,0.0,191.87,11.34,3.52,785.77
2000-01-02,33792.29,0.0,233.32,10.54,0.1,615.13
2000-01-03,33834.11,0.0,244.79,11.53,0.03,612.05
2000-01-04,33879.07,0.0,250.28,14.24,1.9,700.59
2000-01-05,33927.13,0.0,264.58,14.26,0.1,615.11
2000-01-06,33978.27,0.0,258.24,12.56,-0.21,601.24
2000-01-07,34032.43,0.0,247.15,13.74,2.16,713.78
2000-01-08,34089.6,0.0,254.28,13.47,1.3,671.05
2000-01-09,34149.72,0.0,240.41,13.38,2.69,741.24
2000-01-10,34212.77,0.0,245.22,15.29,4.07,817.09
2000-01-11,34278.69,13.09,123.86,13.02,6.81,988.7
2000-01-12,34347.45,0.0,186.26,11.93,4.87,864.28
2000-01-13,34419.0,0.0,266.58,17.15,3.82,802.72
2000-01-14,34493.29,2.17,178.63,15.7,5.49,902.04
2000-01-15,34570.28,12.49,153.83,17.61,9.38,1177.17
2000-01-16,34649.92,3.15,130.62,14.36,7.92,1066.54
2000-01-17,34732.16,25.1,114.77,12.9,7.45,1032.42
2000-01-18,34816.96,5.02,123.29,14.86,8.91,1140.66
2000-01-19,34904.26,7.01,136.0,16.15,9.47,1184.36
2000-01-20,34994.01,1.89,106.37,12.61,9.01,1148.54
2000-01-21,35086.16,0.62,261.21,15.14,4.18,823.45
2000-01-22,35180.67,1.65,244.61,14.98,5.37,894.66
2000-01-23,35277.47,52.82,123.78,13.51,7.85,1061.49
2000-01-24,35376.51,49.14,108.88,14.3,9.39,1178.25
2000-01-25,35477.75,1.92,121.99,13.27,9.27,1168.29
2000-01-26,35581.13,0.0,210.14,13.91,6.57,972.05
2000-01-27,35686.6,0.0,249.67,14.48,5.21,885.09
2000-01-28,35794.1,0.0,278.57,14.66,3.6,790.43
2000-01-29,35903.58,0.0,295.46,16.48,3.9,807.47
2000-01-30,36014.99,12.34,152.14,14.5,7.73,1052.68
2000-01-31,36128.28,0.0,194.98,13.05,6.76,984.84
2000-02-01,36243.4,0.0,261.41,15.76,6.42,962.08
2000-02-02,36360.29,0.0,316.74,19.72,5.19,883.79
2000-02-03,36478.9,16.72,219.31,19.61,7.95,1068.27
2000-02-04,36599.19,0.0,214.14,15.22,8.48,1107.78
2000-02-05,36721.1,0.0,264.33,16.79,7.92,1066.72
2000-02-06,36844.58,0.0,308.92,18.79,6.92,995.9
2000-02-07,36969.58,0.0,331.5,21.04,6.39,959.93
2000-02-08,37096.06,0.0,308.71,20.78,8.93,1141.93
2000-02-09,37223.96,3.52,167.94,16.7,9.96,1224.11
2000-02-10,37353.25,10.02,163.59,15.41,9.03,1149.64
2000-02-11,37483.86,38.19,144.33,11.74,6.45,964.4
2000-02-12,37615.76,23.12,168.67,11.46,5.33,892.48
2000-02-13,37748.91,36.15,175.38,13.76,7.38,1028.06
2000-02-14,37883.24,9.69,234.2,16.04,6.21,948.63
2000-02-15,38018.74,6.23,258.47,17.3,5.03,874.09
2000-02-16,38155.34,8.8,132.44,11.19,6.69,980.27
2000-02-17,38293.01,0.0,316.79,14.21,4.57,846.04
2000-02-18,38431.7,0.0,360.74,17.09,3.95,810.14
2000-02-19,38571.38,12.36,261.44,17.93,5.7,915.26
2000-02-20,38712.0,11.12,250.94,18.52,7.4,1029.23
2000-02-21,38853.53,18.41,244.65,17.14,6.85,991.12
2000-02-22,38995.93,41.09,205.99,14.19,6.47,965.87
2000-02-23,39139.16,0.0,320.03,13.09,3.58,789.31
2000-02-24,39283.18,0.0,339.41,11.8,1.4,675.82
2000-02-25,39427.95,0.0,347.41,15.48,4.35,833.2
2000-02-26,39573.45,37.59,242.65,17.45,7.49,1035.89
2000-02-27,39719.63,11.23,124.0,12.35,8.17,1084.84
2000-02-28,39866.46,3.03,191.99,13.64,6.99,1000.68
2000-02-29,40013.92,3.2,212.52,13.53,6.06,938.66
2000-03-01,40161.95,0.0,391.12,15.19,2.34,722.87
2000-03-02,40310.55,2.07,160.28,10.52,5.31,891.07
2000-03-03,40459.66,0.0,413.24,16.68,2.32,721.85
2000-03-04,40609.26,12.98,294.13,16.64,4.28,828.89
2000-03-05,40759.33,8.06,141.71,11.33,6.88,993.39
2000-03-06,40909.82,0.12,309.83,12.48,4.67,852.14
2000-03-07,41060.72,9.0,249.28,12.72,4.26,827.92
2000-03-08,41211.99,7.75,252.07,13.75,5.34,892.72
2000-03-09,41363.6,0.0,352.77,14.38,5.48,901.44
2000-03-10,41515.52,0.0,433.88,17.37,3.34,775.89
2000-03-11,41667.74,0.0,377.18,17.25,6.98,1000.11
2000-03-12,41820.21,0.0,434.18,19.14,4.87,864.17
2000-03-13,41972.92,0.0,441.0,20.53,5.27,888.36
